use_id,plant_id,raw_record_id,cesky_nazev_display,cast_rostliny_text,cast_rostliny_kategorie,cast_rostliny_je_kombinovana,domena,domena_slug,poddomena_text,poddomena_kategorie,status_znalosti,status_znalosti_slug,aplikovatelnost_v_cr,aplikovatelnost_slug,typicke_lokality_text,obdobi_ziskani_text,mesic_od,mesic_do,fenologicka_faze,zpusob_pripravy,cilovy_efekt,chutovy_profil,vonny_profil,palivovy_potencial_text,hlavni_rizika,kontraindikace_interakce,legalita_poznamka_cr,dukaznost_typ,dukaznost_skore,dukaznost_rank,ma_druhy_zdroj,je_trvanlive_1m_plus,je_v_jadru_bezne_1m_plus,processing_methods_text,processing_methods_count,ma_potravinove_konzervacni_metody,sber_doporuceni,kuratorska_poznamka
r001,plant_tilia_cordata_tilia_platyphyllos,R001,lípa srdčitá / lípa velkolistá,květ,kvetni_cast,False,pití,piti,nálev / čaj,caj_nalev,mainstream,mainstream,vysoká,vysoka,"aleje, parky, návsi, listnaté lesy, staré sady",VI–VII,6,7,plné kvetení,Sušit rychle ve stínu; z květů připravit nálev.,"Chuťový nápoj, tradičně při nachlazení a pro zklidnění.","jemně nasládlý, květový",medově květový,neaplikovatelné,Alergie u citlivých osob; kvalita rychle klesá při špatném sušení.,V těhotenství/kojení nejsou dostatečná data; u citlivých osob možnost alergie.,Běžný sběr mimo chráněné lokality; nesnižovat vitalitu stromu nadměrným otrháním.,EMA + etnobotanika,A,5,True,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: plné kvetení; v datech je pro něj vedené období VI–VII. Ber čerstvé, suché a zdravé květy nebo květenství; nech část květů na místě pro opylovače i další semenení. Respektuj chráněná území a druhovou ochranu; v rezervacích nebo u chráněných druhů se sběru vyhni, pokud nemáš jasné oprávnění. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Základní český aromatický a léčebný strom.
r002,plant_tilia_cordata_tilia_platyphyllos,R002,lípa srdčitá / lípa velkolistá,květ,kvetni_cast,False,fytoterapie,fytoterapie,tradiční bylinný léčivý přípravek,ostatni_specialni,mainstream,mainstream,vysoká,vysoka,"aleje, parky, návsi, listnaté lesy, staré sady",VI–VII,6,7,plné kvetení,Nálev z květů pro krátkodobé užití.,Tradičně úleva při nachlazení a mírném psychickém napětí.,jemně sladký,květový,neaplikovatelné,Nenahrazuje lékařské vyšetření u těžších stavů.,Pozor u přetrvávajících symptomů; alergie možná.,Pro jistotu preferovat vlastní/pěstované zdroje nebo legální sběr.,EMA monografie,A,5,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: plné kvetení; v datech je pro něj vedené období VI–VII. Ber čerstvé, suché a zdravé květy nebo květenství; nech část květů na místě pro opylovače i další semenení. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Vhodné držet odděleně od čistě kulinárních záznamů.
r003,plant_tilia_spp,R003,lípa,květní pupeny,kombinovana_cast,True,potrava,potrava,jarní zelenina / kuriozita,cerstva_potrava,téměř zapomenuté,temer_zapomenute,střední,stredni,"parky, aleje, lesní okraje, vesnické stromy",IV–V,4,5,nalévající se pupeny před rozvinutím květů,Historicky zaznamenáno vaření nebo přímá konzumace malého množství pupenů.,Sezónní jedlá kuriozita.,"jemně zelený, lehce slizovitý",slabý,neaplikovatelné,Nízký výnos; snadné přehnaně poškodit budoucí kvetení stromu.,Bez zvláštních interakcí; hlavní riziko je praktické a ekologické.,Sbírat jen střídmě a spíše z vlastních/pěstovaných stromů.,česká etnobotanika,B,4,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: nalévající se pupeny před rozvinutím květů; v datech je pro něj vedené období IV–V. Ber jen malé množství mladých výhonků nebo pupenů z více rostlin; neotrhej všechny vrcholové pupeny jedné dřeviny. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.","Vzácnější záznam; vhodné jako kurátorská položka, ne jako masový sběr."
r004,plant_tilia_spp,R004,lípa,mladé plody,plodova_cast,False,potrava,potrava,dětská svačina / kuriozita,cerstva_potrava,téměř zapomenuté,temer_zapomenute,střední,stredni,"parky, aleje, lesní okraje",VI–VII,6,7,mladé měkké plůdky,V etnobotanických záznamech uváděno okusování či pojídání mladých plůdků.,Drobná sezónní svačina bez velkého výnosu.,nevýrazně oříškový až zelený,slabý,neaplikovatelné,"Nízká výnosnost; záměna termínu sklizně = tvrdé, nevhodné.",Bez zvláštních interakcí známých; jde spíše o folklórní potravní detail.,Jen střídmý sběr.,česká etnobotanika,B,4,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: mladé měkké plůdky; v datech je pro něj vedené období VI–VII. Sbírej jen zralé, zdravé a nepoškozené plody; přezrálé, plesnivé nebo otlačené kusy hned vyřaď a část plodů nech na stanovišti. Kvůli riziku záměny sbírej jen tehdy, když máš druh jistě určený i podle určovacích znaků; při nejistotě nesklízej. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Kuriózní položka vhodná právě pro „zapomenutý“ profil databáze.
r005,plant_sambucus_nigra,R005,bez černý,květ,kvetni_cast,False,pití,piti,sirup / limonáda / cordial,sirup_koncentrat,mainstream,mainstream,vysoká,vysoka,"křoviny, okraje cest, remízky, ruderály, ploty",V–VI,5,6,čerstvě rozkvetlá květenství za sucha,"Z květů sirup, limonáda nebo lehce fermentovaný nápoj.",Aromatický nápoj a kulinární základ.,medově květový,intenzivně květový,neaplikovatelné,Sběr po dešti zhoršuje aroma; pozor na plísně a hmyz.,Bezové zelené části nejsou vhodné k jídlu.,Běžný sběr; ne u silnic a postřiků.,EMA + etnobotanika,A,5,True,False,False,Sirup / koncentrát · Kvašení / fermentace,2,True,"Sbírej jen správně určený, zdravý materiál v této fázi: čerstvě rozkvetlá květenství za sucha; v datech je pro něj vedené období V–VI. Ber čerstvé, suché a zdravé květy nebo květenství; nech část květů na místě pro opylovače i další semenení. Vyhni se lokalitám u silnic, postřiků, psích tras, skládek a jiných zdrojů kontaminace. Každou dávku hned protřiď; plesnivý, nahnilý nebo hmyzem poškozený materiál vyřaď. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Velmi vhodné pro praktickou část databáze.
r006,plant_sambucus_nigra,R006,bez černý,květ,kvetni_cast,False,fytoterapie,fytoterapie,nálev,caj_nalev,mainstream,mainstream,vysoká,vysoka,"křoviny, okraje cest, remízky, ruderály, ploty",V–VI,5,6,plné kvetení,Sušený nebo čerstvý květ jako nálev krátkodobě při začátku nachlazení.,Tradiční úleva při časných příznacích nachlazení.,jemný,květový,neaplikovatelné,Neřeší komplikované nebo déletrvající infekty.,Pro dospělé a dospívající; při zhoršení stavu vyšetřit lékařem.,Sběr obvykle legální mimo chráněné režimy.,EMA monografie,A,5,False,False,False,Sušení,1,True,"Sbírej jen správně určený, zdravý materiál v této fázi: plné kvetení; v datech je pro něj vedené období V–VI. Ber čerstvé, suché a zdravé květy nebo květenství; nech část květů na místě pro opylovače i další semenení. Vyhni se lokalitám u silnic, postřiků, psích tras, skládek a jiných zdrojů kontaminace. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Respektuj chráněná území a druhovou ochranu; v rezervacích nebo u chráněných druhů se sběru vyhni, pokud nemáš jasné oprávnění. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Fytoterapeutický záznam oddělen od sirupu.
r007,plant_sambucus_nigra,R007,bez černý,květenství,kvetni_cast,False,potrava,potrava,smažené květenství / kosmatice,ostatni_specialni,méně známé,mene_zname,vysoká,vysoka,"křoviny, ploty, remízky, zahrady",V–VI,5,6,plně otevřené květy,Celé květenství obalit v těstíčku a osmažit.,Sezónní jarní jídlo.,sladce květový,květový,neaplikovatelné,"Nutné používat čerstvé, zdravé květy.",Osoby citlivé na pyl mohou hůře tolerovat.,Sběr běžně možný.,česká etnobotanika,B,4,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: plně otevřené květy; v datech je pro něj vedené období V–VI. Ber čerstvé, suché a zdravé květy nebo květenství; nech část květů na místě pro opylovače i další semenení. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.","V ČR známé regionálně, ale ne univerzálně."
r008,plant_sambucus_nigra,R008,bez černý,plod,plodova_cast,False,potrava a pití,potrava_a_piti,šťáva / džem / víno / likér,liker_macerat,mainstream,mainstream,vysoká,vysoka,"křoviny, ploty, remízky, vlhčí okraje cest",VIII–IX,8,9,plně zralé černé plody,"Plody vařit nebo jinak tepelně zpracovat; používat do sirupů, džemů, vín a likérů.","Barva, chuť, skladovatelný produkt.","tmavě ovocný, svíravý",ovocný,neaplikovatelné,Nezralé plody a jiné části rostliny jsou problematické; syrové nemusí sedět trávení.,Opatrnost u citlivého trávení.,Sběr běžně možný.,etnobotanika + obecná bezpečnostní tradice,B,4,True,False,False,Sirup / koncentrát · Zavaření / sterilace ve sklenici · Tinktura / alkoholová macerace · Cukrování / kandování / džem,4,True,"Sbírej jen správně určený, zdravý materiál v této fázi: plně zralé černé plody; v datech je pro něj vedené období VIII–IX. Sbírej jen zralé, zdravé a nepoškozené plody; přezrálé, plesnivé nebo otlačené kusy hned vyřaď a část plodů nech na stanovišti. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",U bezu je důležité jasně rozlišit květ a plod.
r009,plant_betula_pendula_betula_pubescens,R009,bříza bělokorá / pýřitá,míza,miza,False,pití,piti,čerstvá jarní míza,ostatni_specialni,méně známé,mene_zname,vysoká,vysoka,"paseky, lesní okraje, písčiny, vřesoviště, zahrady, remízky",III–IV,3,4,silné jarní proudění mízy před plným olistěním,Čerstvě odebraná míza se pije jako lehký jarní nápoj.,Hydratace a sezónní chuťový zdroj.,"jemně nasládlý, vodnatý","svěží, velmi slabý",neaplikovatelné,Nevhodný invazivní odběr může poškodit strom; rychle se kazí.,U diabetu nebo restrikcí tekutin zvažovat individuálně.,Neporušovat cizí stromy a chráněné režimy; preferovat šetrný odběr.,česká etnobotanika + globální analog,B,4,True,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: silné jarní proudění mízy před plným olistěním; v datech je pro něj vedené období III–IV. Mízu odebírej jen z vlastních nebo výslovně povolených stromů, co nejšetrněji a jen v malém množství; strom zbytečně neoslabuj a mízu hned chlaď nebo zpracuj. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Respektuj chráněná území a druhovou ochranu; v rezervacích nebo u chráněných druhů se sběru vyhni, pokud nemáš jasné oprávnění. Používej čisté potravinářské nádoby, mízu drž v chladu a zpracuj ji co nejrychleji, protože se rychle kazí.","V ČR méně běžné než na severu a východě Evropy, ale plně přenositelné."
r010,plant_betula_pendula_betula_pubescens,R010,bříza bělokorá / pýřitá,míza,miza,False,pití,piti,fermentovaný nápoj / sirup / ocet,sirup_koncentrat,globální analog,globalni_analog,střední,stredni,"paseky, lesní okraje, písčiny, vřesoviště, zahrady",III–IV,3,4,jarní odběr mízy,"V severní a východní Evropě se míza používá i na lehce fermentované nápoje, ocet či zahušťované produkty.",Rozšíření repertoáru nad rámec české tradice.,lehce sladký až kyselkavý po fermentaci,slabý,neaplikovatelné,Nutná hygienická disciplína při fermentaci; vysoká kazivost.,Nevhodné pro improvizovanou fermentaci bez zkušenosti.,Stejná právní opatrnost jako u čerstvé mízy.,globální etnobotanický analog,D,2,False,False,False,Sirup / koncentrát · Kvašení / fermentace · Naložení do octa / ocet,3,True,"Sbírej jen správně určený, zdravý materiál v této fázi: jarní odběr mízy; v datech je pro něj vedené období III–IV. Mízu odebírej jen z vlastních nebo výslovně povolených stromů, co nejšetrněji a jen v malém množství; strom zbytečně neoslabuj a mízu hned chlaď nebo zpracuj. Používej čisté potravinářské nádoby, mízu drž v chladu a zpracuj ji co nejrychleji, protože se rychle kazí.","Silně aplikovatelné na ČR, ale není to běžná česká praxe."
