record_id,cesky_nazev,vedecky_nazev,domena,poddomena,cast_rostliny,obdobi_ziskani,typicke_lokality_v_CR,forma_uchovani,orientacni_trvanlivost,poznamka_k_skladovani
R155,jabloň domácí,Malus domestica,potrava,křížaly / sušené plátky,plod,IX–XI,"sady, zahrady, staré aleje, vesnické zahrady",sušení,3–12 měsíců,Při správném usušení běžně vydrží mnoho měsíců.
R156,jabloň domácí,Malus domestica,pití,jablečný ocet / cider vinegar,plod,IX–XI,"sady, zahrady, staré aleje, vesnické zahrady",ocet / octové kvašení,6–12+ měsíců,"Správně vedený ocet je bezpečně skladovatelný déle než měsíc, obvykle řadu měsíců."
R157,hrušeň obecná,Pyrus communis,potrava,sušené hrušky / křížaly,plod,IX–XI,"sady, zahrady, staré vysokokmenné stromy, polní cesty",sušení,3–12 měsíců,Po dosušení dobře skladovatelné po celé zimní období.
R158,hrušeň obecná,Pyrus communis,pití,perry / hruškový kvašený nápoj,plod,IX–XI,"sady, zahrady, staré vysokokmenné stromy, polní cesty",kvašený nápoj,3–12 měsíců,Po dokvašení a správném uskladnění vydrží měsíce.
R159,slivoň / švestka domácí,Prunus domestica,potrava,povidla,plod,VIII–X,"sady, zahrady, meze se starými stromy, podhůří",zavařenina,6–12 měsíců,Při dobrém zavaření a skladování vydrží mnoho měsíců.
R160,slivoň / švestka domácí,Prunus domestica,potrava,sušené švestky,plod,VIII–X,"sady, zahrady, meze se starými stromy, podhůří",sušení,3–12 měsíců,Po správném usušení běžně vydrží měsíce.
R161,růže šípková,Rosa canina,pití,sušené šípky na čaj,šípek,IX–XI,"meze, křoviny, okraje cest, remízky",sušení,3–12 měsíců,Dobře usušené šípky patří mezi klasické zimní zásoby na mnoho měsíců.
R162,růže šípková,Rosa canina,pití,náhražka kávy ze semen,semena z šípků,IX–XI,"meze, křoviny, okraje cest, remízky",sušení,6–12 měsíců,Po usušení a opražení je směs skladovatelná řadu měsíců.
R163,jeřáb ptačí,Sorbus aucuparia,potrava,želé / rosol po tepelné úpravě,plod,IX–XI,"horské a podhorské okraje lesů, meze, aleje, parky",zavařenina,6–12 měsíců,Ve formě želé jde o výrazně trvanlivější využití než čerstvý plod.
R164,mišpule obecná,Mespilus germanica,potrava,uleželé plody do sklepa / bletting,plod,X–XI,"staré zahrady, sbírkové sady, teplejší polohy",zavařenina,6–12 měsíců,Při chladném uložení dává okno využití delší než měsíc.
